,Line #,Module Name,Area(um^2),Area(%)
0,6134:,'$paramod$6136cc844849bfbf02d165df8f5dca9405303543\reg_arstn_en':,2653.795,0.522
1,6207:,'$paramod\alu\DATA_W=s32'00000000000000000000000001000000':,18362.611,3.612
2,6262:,'$paramod\branch_unit\DATA_W=s32'00000000000000000000000001000000':,5463.990,1.075
3,6277:,'$paramod\mux_2\DATA_W=s32'00000000000000000000000001000000':,972.182,0.191
4,6313:,'$paramod\pc\DATA_W=s32'00000000000000000000000001000000':,1501.440,0.295
5,6360:,'$paramod\register_file\DATA_W=s32'00000000000000000000000001000000':,119129.254,23.436
6,6378:,'$paramod\sram_BW32\ADDR_W=s32'00000000000000000000000000001001':,138703.362,27.287
7,6396:,'$paramod\sram_BW64\ADDR_W=s32'00000000000000000000000000001010':,227869.314,44.829
8,6419:,'\alu_control':,112.608,0.022
9,6447:,'\control_unit':,137.632,0.027
10,6482:,'\cpu':,127.622,0.025
11,6507:,'\immediate_extend_unit':,521.750,0.103
12,7239:,'\cpu':,508312.366,100.000
