,Line #,Module Name,Area(um^2),Area(%)
0,6162:,'$paramod$6136cc844849bfbf02d165df8f5dca9405303543\reg_arstn_en':,2653.795,0.430
1,6244:,'$paramod\alu\DATA_W=s32'00000000000000000000000001000000':,127334.624,20.626
2,6299:,'$paramod\branch_unit\DATA_W=s32'00000000000000000000000001000000':,5463.990,0.885
3,6314:,'$paramod\mux_2\DATA_W=s32'00000000000000000000000001000000':,972.182,0.157
4,6350:,'$paramod\pc\DATA_W=s32'00000000000000000000000001000000':,1501.440,0.243
5,6397:,'$paramod\register_file\DATA_W=s32'00000000000000000000000001000000':,119129.254,19.297
6,6415:,'$paramod\sram_BW32\ADDR_W=s32'00000000000000000000000000001001':,138703.362,22.467
7,6433:,'$paramod\sram_BW64\ADDR_W=s32'00000000000000000000000000001010':,227869.314,36.911
8,6458:,'\alu_control':,185.178,0.030
9,6486:,'\control_unit':,137.632,0.022
10,6521:,'\cpu':,127.622,0.021
11,6547:,'\immediate_extend_unit':,520.499,0.084
12,7290:,'\cpu':,617354.446,100.000
