,Line #,Module Name,Area(um^2),Area(%)
0,7550:,'$paramod$6136cc844849bfbf02d165df8f5dca9405303543\reg_arstn_en':,2653.795,0.415
1,7628:,'$paramod\alu\DATA_W=s32'00000000000000000000000001000000':,126605.174,19.788
2,7683:,'$paramod\branch_unit\DATA_W=s32'00000000000000000000000001000000':,5463.990,0.854
3,7698:,'$paramod\mux_2\DATA_W=s32'00000000000000000000000001000000':,972.182,0.152
4,7734:,'$paramod\pc\DATA_W=s32'00000000000000000000000001000000':,1501.440,0.235
5,7750:,'$paramod\reg_arstn_en\DATA_W=s32'00000000000000000000000000000001':,41.290,0.006
6,7766:,'$paramod\reg_arstn_en\DATA_W=s32'00000000000000000000000000000010':,82.579,0.013
7,7782:,'$paramod\reg_arstn_en\DATA_W=s32'00000000000000000000000000100000':,1325.021,0.207
8,7798:,'$paramod\reg_arstn_en\DATA_W=s32'00000000000000000000000001000000':,2653.795,0.415
9,7845:,'$paramod\register_file\DATA_W=s32'00000000000000000000000001000000':,119116.742,18.617
10,7863:,'$paramod\sram_BW32\ADDR_W=s32'00000000000000000000000000001001':,138703.362,21.679
11,7881:,'$paramod\sram_BW64\ADDR_W=s32'00000000000000000000000000001010':,227869.314,35.615
12,7906:,'\alu_control':,185.178,0.029
13,7934:,'\control_unit':,137.632,0.022
14,7977:,'\cpu':,127.622,0.020
15,8003:,'\immediate_extend_unit':,520.499,0.081
16,8768:,'\cpu':,639818.490,100.000
